prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2023-11-01,18:18,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.18; MSAS at inflection=15.84; depression=8.20°; smoothing=5-pt median; dark rows=1360"
fajr,2023-11-02,05:03,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.18; MSAS at inflection=17.26; depression=19.73°; smoothing=5-pt median; dark rows=1360"
fajr,2023-11-03,05:31,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.73; MSAS at inflection=16.54; depression=13.45°; smoothing=5-pt median; dark rows=1362"
isha,2023-11-03,18:29,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.22; MSAS at inflection=18.15; depression=10.92°; smoothing=5-pt median; dark rows=1363"
fajr,2023-11-06,05:35,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.61; MSAS at inflection=17.66; depression=12.99°; smoothing=5-pt median; dark rows=1367"
isha,2023-11-07,19:01,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.63; MSAS at inflection=19.53; depression=18.55°; smoothing=5-pt median; dark rows=1371"
fajr,2023-11-08,05:47,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.63; MSAS at inflection=18.25; depression=10.51°; smoothing=5-pt median; dark rows=1371"
fajr,2023-11-09,05:40,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.92; MSAS at inflection=19.54; depression=12.20°; smoothing=5-pt median; dark rows=1373"
fajr,2023-11-10,05:43,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.72; MSAS at inflection=18.68; depression=11.54°; smoothing=5-pt median; dark rows=1375"
fajr,2023-11-11,05:42,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.95; MSAS at inflection=19.86; depression=11.99°; smoothing=5-pt median; dark rows=1376"
fajr,2023-11-12,05:52,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=20.39; MSAS at inflection=18.75; depression=9.88°; smoothing=5-pt median; dark rows=1370"
fajr,2023-11-13,05:44,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.51; MSAS at inflection=18.92; depression=11.67°; smoothing=5-pt median; dark rows=1381"
fajr,2023-11-14,05:50,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.99; MSAS at inflection=18.03; depression=10.57°; smoothing=5-pt median; dark rows=1382"
isha,2023-11-15,18:21,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.85; MSAS at inflection=17.68; depression=9.96°; smoothing=5-pt median; dark rows=1385"
fajr,2023-11-16,05:47,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.85; MSAS at inflection=18.57; depression=11.49°; smoothing=5-pt median; dark rows=1385"
fajr,2023-11-17,05:45,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=20.05; MSAS at inflection=19.25; depression=12.07°; smoothing=5-pt median; dark rows=1387"
fajr,2023-11-18,05:54,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.99; MSAS at inflection=17.99; depression=10.20°; smoothing=5-pt median; dark rows=1388"
isha,2023-11-18,18:25,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.53; MSAS at inflection=18.17; depression=10.97°; smoothing=5-pt median; dark rows=1389"
fajr,2023-11-19,05:51,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.53; MSAS at inflection=18.44; depression=10.88°; smoothing=5-pt median; dark rows=1389"
isha,2023-11-20,18:22,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.82; MSAS at inflection=17.62; depression=10.37°; smoothing=5-pt median; dark rows=1393"
fajr,2023-11-22,05:55,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.35; MSAS at inflection=18.30; depression=10.40°; smoothing=5-pt median; dark rows=1394"
fajr,2023-11-24,05:50,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.51; MSAS at inflection=19.16; depression=11.77°; smoothing=5-pt median; dark rows=1397"
isha,2023-11-24,18:21,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.65; MSAS at inflection=17.24; depression=10.32°; smoothing=5-pt median; dark rows=1398"
fajr,2023-11-25,05:55,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.65; MSAS at inflection=18.27; depression=10.80°; smoothing=5-pt median; dark rows=1398"
fajr,2023-12-01,05:33,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.80; MSAS at inflection=17.43; depression=16.44°; smoothing=5-pt median; dark rows=1404"
isha,2023-11-02,18:26,-5,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.83; MSAS at inflection=17.65; depression=16.03°; smoothing=5-pt median; dark rows=1426"
fajr,2023-11-05,05:59,-5,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.90; MSAS at inflection=15.84; depression=8.42°; smoothing=5-pt median; dark rows=1428"
