prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2024-10-13,04:47,7.0,-0.457,100.589,450.0,"UIN Mahmud Yunus, Batusangkar West Sumatra (2024) OBSERVATION OF DAWN SPECTRAL SHIFTS","time-lapse and SQM; confirmed Fajar Sadiq appearance; very structured transition"
fajr,2024-10-14,04:46,7.0,-0.457,100.589,450.0,"UIN Mahmud Yunus, Batusangkar West Sumatra (2024) OBSERVATION OF DAWN SPECTRAL SHIFTS","time-lapse and SQM; second night of detailed observation"
