prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,1970-06-12,04:17,5.0,25.7667,68.6583,16.0,Ludhianvi 1975 Subh Sadiq / Shaukat 2015 Fajr and Isha Booklet Tando Adam Pakistan,naked eye; Subh Sadiq; team of 11 Ulama and experts; night was pitch dark without lights; Subh Kadhib at 04:00; sunrise approx 05:30
fajr,1991-09-28,06:20,-4.0,42.444,-76.502,280.0,Afzal 1991 / Shaukat 2015 Fajr and Isha Booklet Ithaca NY USA,naked eye; Subh Sadiq (Fajr al-Mustatir); Dr Omar Afzal and 2 observers; diffused light over whole eastern horizon; very clear horizon; Tabayyan at 06:29; sunrise=07:01; EDT (UTC-4)
