prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2018-01-01,06:43,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.75; MSAS at inflection=16.99; depression=10.04°; smoothing=5-pt median; dark rows=785
isha,2018-01-08,17:51,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.21; MSAS at inflection=17.12; depression=8.89°; smoothing=5-pt median; dark rows=1465
fajr,2018-01-09,05:41,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.21; MSAS at inflection=16.84; depression=21.38°; smoothing=5-pt median; dark rows=1465
isha,2018-01-15,17:56,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.37; MSAS at inflection=16.11; depression=8.46°; smoothing=5-pt median; dark rows=1473
fajr,2018-01-16,06:46,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.37; MSAS at inflection=17.04; depression=9.28°; smoothing=5-pt median; dark rows=1473
fajr,2018-01-17,06:06,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.45; MSAS at inflection=18.43; depression=16.54°; smoothing=5-pt median; dark rows=1473
isha,2018-01-17,18:01,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.49; MSAS at inflection=16.74; depression=9.13°; smoothing=5-pt median; dark rows=1479
isha,2018-01-18,18:00,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.38; MSAS at inflection=16.33; depression=8.63°; smoothing=5-pt median; dark rows=1476
fajr,2018-01-19,06:40,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.38; MSAS at inflection=17.77; depression=10.12°; smoothing=5-pt median; dark rows=1476
isha,2018-01-19,18:18,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.29; MSAS at inflection=17.79; depression=11.78°; smoothing=5-pt median; dark rows=1470
isha,2018-01-20,18:07,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.99; MSAS at inflection=17.08; depression=9.66°; smoothing=5-pt median; dark rows=1463
fajr,2018-01-21,06:09,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.99; MSAS at inflection=16.70; depression=15.75°; smoothing=5-pt median; dark rows=1463
isha,2018-01-21,18:10,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.50; MSAS at inflection=17.25; depression=9.86°; smoothing=5-pt median; dark rows=1459
fajr,2018-01-23,06:14,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.50; MSAS at inflection=18.35; depression=14.61°; smoothing=5-pt median; dark rows=1461
isha,2018-01-23,18:02,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.41; MSAS at inflection=16.18; depression=8.10°; smoothing=5-pt median; dark rows=1446
isha,2018-01-24,18:05,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.68; MSAS at inflection=16.17; depression=8.48°; smoothing=5-pt median; dark rows=1437
fajr,2018-01-25,06:36,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.68; MSAS at inflection=16.98; depression=10.31°; smoothing=5-pt median; dark rows=1437
fajr,2018-01-27,06:43,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.29; MSAS at inflection=16.69; depression=8.74°; smoothing=5-pt median; dark rows=1437
isha,2018-01-27,18:11,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.94; MSAS at inflection=16.54; depression=8.95°; smoothing=5-pt median; dark rows=1436
isha,2018-01-01,19:05,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=17.64; MSAS at inflection=18.78; depression=21.96°; smoothing=5-pt median; dark rows=734
isha,2018-01-03,18:37,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.37; MSAS at inflection=20.77; depression=16.19°; smoothing=5-pt median; dark rows=733
isha,2018-01-13,18:32,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=21.25; MSAS at inflection=20.25; depression=13.70°; smoothing=5-pt median; dark rows=728
fajr,2018-01-14,06:21,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=21.25; MSAS at inflection=20.47; depression=13.64°; smoothing=5-pt median; dark rows=728
isha,2018-01-14,18:29,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=21.35; MSAS at inflection=20.09; depression=13.00°; smoothing=5-pt median; dark rows=649
fajr,2018-01-17,06:24,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=21.28; MSAS at inflection=20.41; depression=13.03°; smoothing=5-pt median; dark rows=473
isha,2018-01-17,19:10,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=21.19; MSAS at inflection=20.92; depression=20.42°; smoothing=5-pt median; dark rows=710
isha,2018-01-23,19:20,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.27; MSAS at inflection=20.19; depression=21.37°; smoothing=5-pt median; dark rows=149
fajr,2018-01-24,06:37,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.27; MSAS at inflection=20.47; depression=10.00°; smoothing=5-pt median; dark rows=149
isha,2018-01-24,18:38,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.60; MSAS at inflection=18.76; depression=12.86°; smoothing=5-pt median; dark rows=706
fajr,2018-01-25,06:12,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.60; MSAS at inflection=21.00; depression=14.65°; smoothing=5-pt median; dark rows=706
isha,2018-01-25,19:04,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.01; MSAS at inflection=17.36; depression=17.76°; smoothing=5-pt median; dark rows=149
fajr,2018-01-25,19:22,0,36.95,-4.54,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.01; MSAS at inflection=18.05; depression=21.32°; smoothing=5-pt median; dark rows=149
