prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2017-07-01,03:55,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.16; MSAS at inflection=16.59; depression=8.88°; smoothing=5-pt median; dark rows=439
isha,2017-07-01,20:38,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.67; MSAS at inflection=16.34; depression=8.49°; smoothing=5-pt median; dark rows=792
fajr,2017-07-02,03:53,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.67; MSAS at inflection=17.00; depression=9.17°; smoothing=5-pt median; dark rows=792
fajr,2017-07-03,03:19,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.67; MSAS at inflection=18.66; depression=13.97°; smoothing=5-pt median; dark rows=825
fajr,2017-07-04,02:57,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.53; MSAS at inflection=18.69; depression=16.69°; smoothing=5-pt median; dark rows=828
isha,2017-07-06,22:03,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.81; MSAS at inflection=17.11; depression=19.57°; smoothing=5-pt median; dark rows=836
isha,2017-07-08,22:17,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.82; MSAS at inflection=17.84; depression=21.12°; smoothing=5-pt median; dark rows=846
fajr,2017-07-10,03:58,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.92; MSAS at inflection=16.89; depression=9.25°; smoothing=5-pt median; dark rows=844
isha,2017-07-11,20:31,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.23; MSAS at inflection=15.91; depression=8.08°; smoothing=5-pt median; dark rows=851
isha,2017-07-16,20:29,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.21; MSAS at inflection=16.05; depression=8.24°; smoothing=5-pt median; dark rows=865
fajr,2017-07-17,04:09,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.21; MSAS at inflection=16.52; depression=8.63°; smoothing=5-pt median; dark rows=865
