prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2000-12-03,05:45,-5.0,25.940,-80.130,3.0,"Moonsighting.com / Khalid Shaukat, moonsighting.com/faq_pt.html","Miami Beach / Sunny Isles FL USA; 5 witnesses: Salam Dandia, Raffia Dandia, Abdul Razz Khanani, Kaiser Pervez, Mufti Rafique Ahmet; confirmed Subh Sadiq; moonsighting.com 15deg calculation matched 100%"
fajr,2016-06-23,03:56,2.0,46.553,6.312,440.0,"Moonsighting.com / Rafik Ouared, moonsighting.com/how-we.html","Pampigny Switzerland; camera-captured true dawn (Imsak); CEST UTC+2; moonsighting.com calculation was 3:51 AM (5 min early); single observer with camera verification"
