prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2018-05-01,04:29,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.97; MSAS at inflection=16.46; depression=8.51°; smoothing=5-pt median; dark rows=511
isha,2018-05-01,20:57,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.97; MSAS at inflection=17.80; depression=18.40°; smoothing=5-pt median; dark rows=974
fajr,2018-05-02,03:24,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.97; MSAS at inflection=17.27; depression=18.46°; smoothing=5-pt median; dark rows=974
isha,2018-05-02,20:42,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.90; MSAS at inflection=16.33; depression=16.06°; smoothing=5-pt median; dark rows=958
fajr,2018-05-03,04:18,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.90; MSAS at inflection=17.09; depression=9.86°; smoothing=5-pt median; dark rows=958
isha,2018-05-03,19:54,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.31; MSAS at inflection=16.21; depression=8.26°; smoothing=5-pt median; dark rows=959
fajr,2018-05-04,04:17,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.31; MSAS at inflection=17.36; depression=9.73°; smoothing=5-pt median; dark rows=959
isha,2018-05-04,20:30,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.27; MSAS at inflection=18.06; depression=13.78°; smoothing=5-pt median; dark rows=960
fajr,2018-05-05,04:18,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.27; MSAS at inflection=17.16; depression=9.48°; smoothing=5-pt median; dark rows=960
fajr,2018-05-07,04:24,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.31; MSAS at inflection=16.05; depression=7.97°; smoothing=5-pt median; dark rows=945
isha,2018-05-07,21:20,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.46; MSAS at inflection=17.03; depression=20.23°; smoothing=5-pt median; dark rows=933
isha,2018-05-10,21:21,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.32; MSAS at inflection=16.80; depression=19.77°; smoothing=5-pt median; dark rows=923
